,text, target,processed
350,ขอถามหน่อยว่าจะมาปากหมาแช่งเด็กทำไมทำไมไม่ให้กำลังใจแค่เกรดไม่สูงนี่ก็หดหู่พออยู่แล้วยังจะมาปากหมายืนแช่งอีก นี่เป็นผู้ใหญ่จริงป่ะคะ,1,"['ขอ', 'ถาม', 'หน่อย', 'ว่า', 'จะ', 'มา', 'ปากหมา', 'แช่ง', 'เด็ก', 'ทำไม', 'ทำไม', 'ไม่', 'ให้กำลังใจ', 'แค่', 'เกรด', 'ไม่', 'สูง', 'นี่', 'ก็', 'หดหู่', 'พอ', 'อยู่แล้ว', 'ยัง', 'จะ', 'มา', 'ปากหมา', 'ยืน', 'แช่ง', 'อีก', 'นี่', 'เป็นผู้ใหญ่', 'จริง', 'ป่ะ', 'คะ']"
351,ไอชั่วไอเลวไอควายขอให้มึงต้องตายอย่างหมาเลย,1,"['ไอ', 'ชั่ว', 'ไอ', 'เลว', 'ไอ', 'ควาย', 'ขอให้', 'มึง', 'ต้อง', 'ตาย', 'อย่าง', 'หมา', 'เลย']"
352,รบแบบนี้เปลี่ยนจากอาร์มี่เป็นฝูงหมาเถอะค่ะ,1,"['รบ', 'แบบนี้', 'เปลี่ยน', 'จาก', 'อาร์', 'มี่', 'เป็น', 'ฝูง', 'หมา', 'เถอะ', 'ค่ะ']"
353,อีดอกตอแหลมึงไม่ใช่เพื่อน รำคาญ,1,"['อีดอก', 'ตอแหล', 'มึง', 'ไม่', 'ใช่', 'เพื่อน', 'รำคาญ']"
354,นิสัยแบบมึงยังมีคนคบอีกหรอ ตอแหลแต่ไหนแต่ไร เสมอต้นเสมอปลายดี เจริญ,1,"['นิสัย', 'แบบ', 'มึง', 'ยังมี', 'คน', 'คบ', 'อีก', 'หรอ', 'ตอแหล', 'แต่ไหนแต่ไร', 'เสมอต้นเสมอปลาย', 'ดี', 'เจริญ']"
355,ทำดี .. ย่อมได้ดีแต่ถ้า “ตอแหล” ให้ถูกวิธีมันก็ได้ดีเหมือนกัน 🤓👐 pic.twitter.com/TpMLotdht0,0,"['ทำดี', '..', 'ย่อม', 'ได้', 'ดีแต่', 'ถ้า', 'ตอแหล', 'ให้', 'ถูกวิธี', 'มัน', 'ก็', 'ได้ดี', 'เหมือนกัน', 'EMJnerd-faceEMJEMJopen-handsEMJ', 'xxurl']"
356,กูต้องอยู่ร่วมสังคมกับคนที่มีความคิดแค่นี้หรอ?? ต่ำ!!!,1,"['กู', 'ต้อง', 'อยู่ร่วม', 'สังคม', 'กับ', 'คน', 'ที่', 'มี', 'ความคิด', 'แค่นี้', 'หรอ', '??', 'ต่ำ', 'xxrep']"
357,เรียนผูก ก็ต้องเรียนแก้ ถ้าคิดจะตอแหล ก็ต้องแถให้ที่สุด,0,"['เรียน', 'ผูก', 'ก็', 'ต้อง', 'เรียน', 'แก้', 'ถ้า', 'คิด', 'จะ', 'ตอแหล', 'ก็', 'ต้อง', 'แถ', 'ให้', 'ที่สุด']"
358,ประชาชนชาวไทยเหมือนตายทั้งเป็น นับแต่มีปีศาจทหารขี้ฉ้อตอแหลยึดอำนาจ หลอกลวงปวงชนว่าขอเวลาอีกไม่นานจะคืนความสุขให้ประชาชน ที่แท้เป็นกลลวง,1,"['ประชาชน', 'ชาวไทย', 'เหมือน', 'ตายทั้งเป็น', 'นับแต่', 'มี', 'ปีศาจ', 'ทหาร', 'ขี้ฉ้อตอแหล', 'ยึดอำนาจ', 'หลอกลวง', 'ปวงชน', 'ว่า', 'ขอเวลา', 'อีกไม่นาน', 'จะ', 'คืน', 'ความสุข', 'ให้', 'ประชาชน', 'ที่แท้', 'เป็น', 'กลลวง']"
359,ไปเปนดาราไป ตอแหล ขนาดนี้ มอบมง 55555555 อีดอกกกกกกกก,1,"['ไป', 'เปน', 'ดารา', 'ไป', 'ตอแหล', 'ขนาด', 'นี้', 'มอบ', 'มง', 'xxrep', 'อีดอก', 'xxrep']"
360,คนตอแหลน่าตาก็จะประมาณพวกมึง,1,"['คน', 'ตอแหล', 'น่า', 'ตา', 'ก็', 'จะ', 'ประมาณ', 'พวก', 'มึง']"
361,เท่าที่เคยเจอมาคนนี้เหี้ยสุดแล้ว ตอแหลเหมาะสมกันดี,1,"['เท่าที่', 'เคย', 'เจอ', 'มา', 'คน', 'นี้', 'เหี้ย', 'สุด', 'แล้ว', 'ตอแหล', 'เหมาะ', 'สมกัน', 'ดี']"
362,กูนี่เกลียดจริงๆกับอีคำว่าเลิกกันไม่จำเป็นต้องเกลียดกัน อีตอแหล,1,"['กู', 'นี่', 'เกลียด', 'จริงๆ', 'กับ', 'อี', 'คำ', 'ว่า', 'เลิกกัน', 'ไม่', 'จำเป็นต้อง', 'เกลียด', 'กัน', 'อี', 'ตอแหล']"
363,สวยตอแหลก็ไม่นับถือหลอกปลอมเปลือก,1,"['สวย', 'ตอแหล', 'ก็', 'ไม่', 'นับถือ', 'หลอก', 'ปลอม', 'เปลือก']"
364,เอาจริง ทวิตเป็นที่แรกในโลกเลยที่เรารู้สึกว่าโพสความจริงอะไรก็โดนหาว่าตอแหล,0,"['เอาจริง', 'ทวิ', 'เป็นที่', 'แรก', 'ใน', 'โลก', 'เลย', 'ที่', 'เรา', 'รู้สึก', 'ว่า', 'โพส', 'ความจริง', 'อะไร', 'ก็', 'โดน', 'หาว่า', 'ตอแหล']"
365,😡 ต้องการอะไร ถึงมาตอแหล สร้างเรื่อง  เก่งจริงนะ เล่นกับความรู้สึกคนอื่น นรก !!! ว่างๆ ค่อยทำบุญไปให้นะ กราบขอบคุณที่ทำให้รู้สันดาน !!!,1,"['EMJpouting-faceEMJ', 'ต้องการ', 'อะไร', 'ถึง', 'มา', 'ตอแหล', 'สร้างเรื่อง', 'เก่ง', 'จริง', 'นะ', 'เล่น', 'กับ', 'ความรู้สึก', 'คนอื่น', 'นรก', 'xxrep', 'ว่าง', 'ค่อย', 'ทำบุญ', 'ไป', 'ให้', 'นะ', 'กราบ', 'ขอบคุณ', 'ที่', 'ทำให้', 'รู้', 'สันดาน', 'xxrep']"
366,ตอแหลไม่เก่งคะ ถ้าเกลียดคือจะไม่ยุ่งด้วยเลย เข้าใจตรงกันนะ,0,"['ตอแหล', 'ไม่', 'เก่ง', 'คะ', 'ถ้า', 'เกลียด', 'คือ', 'จะ', 'ไม่', 'ยุ่ง', 'ด้วย', 'เลย', 'เข้า', 'ใจตรงกัน', 'นะ']"
367,กูเกลียดคนที่แซะกู พอไปถามเสือกเฉไฉบอกแซะคนอื่น ด่าตอแหลล้านรอบกูยังไม่สะใจเลยอีส้นตีน,1,"['กู', 'เกลียด', 'คน', 'ที่', 'แซะ', 'กู', 'พอ', 'ไป', 'ถาม', 'เสือก', 'เฉไฉ', 'บอก', 'แซะ', 'คนอื่น', 'ด่า', 'ตอแหล', 'ล้าน', 'รอบ', 'กู', 'ยัง', 'ไม่', 'สะใจ', 'เลย', 'อี', 'ส้นตีน']"
368,เหี้ยไปอีกอะ คนเรา โครตจะไม่มีสปิริตในการทำงาน ละเสือกตอแหลเป็นเจ้าภาพ,1,"['เหี้ย', 'ไป', 'อีก', 'อะ', 'คนเรา', 'โค', 'รต', 'จะ', 'ไม่', 'มี', 'สปิริต', 'ใน', 'การทำงาน', 'ละ', 'เสือก', 'ตอแหล', 'เป็นเจ้าภาพ']"
369,สังคมเพื่อนในมหาลัยนี่ตอแหลจริงใส่หน้ากากกันกี่ชั้นอะบอกหน่อยบางคนก็ควรรู้ตัวเองปะว่าทำไมเพื่อนไม่เอาเพื่อนถึงแยกออกมาควรปรับปรุงอะจริง,0,"['สังคม', 'เพื่อน', 'ใน', 'มหาลัย', 'นี่', 'ตอแหล', 'จริง', 'ใส่หน้ากาก', 'กัน', 'กี่', 'ชั้น', 'อะ', 'บอก', 'หน่อย', 'บางคน', 'ก็', 'ควร', 'รู้', 'ตัวเอง', 'ปะว่า', 'ทำไม', 'เพื่อน', 'ไม่', 'เอา', 'เพื่อน', 'ถึง', 'แยก', 'ออกมา', 'ควร', 'ปรับปรุง', 'อะ', 'จริง']"
370,เสือกทุกเรื่องจริงๆเลย ไม่ไปผุดไปเกิดซักที,1,"['เสือก', 'ทุก', 'เรื่อง', 'จริงๆ', 'เลย', 'ไม่', 'ไป', 'ผุด', 'ไป', 'เกิด', 'ซัก', 'ที']"
371,ใช่ที่มันเป็นเรื่องของคุณ และใช่ที่คุณมีสิทธิ์ที่จะไม่บอก และใช่เราไม่มีสิทธิ์เสือก,0,"['ใช่', 'ที่', 'มัน', 'เป็นเรื่อง', 'ของ', 'คุณ', 'และ', 'ใช่', 'ที่', 'คุณ', 'มีสิทธิ์', 'ที่จะ', 'ไม่', 'บอก', 'และ', 'ใช่', 'เรา', 'ไม่', 'มีสิทธิ์', 'เสือก']"
372,อัลฟอลไปดิใครห้ามมึง ไม่เสือกเรื่องของกูก็คงไม่ตายหรอกเนาะ,1,"['อัลฟอล', 'ไป', 'ดิ', 'ใคร', 'ห้าม', 'มึง', 'ไม่', 'เสือก', 'เรื่อง', 'ของ', 'กู', 'ก็', 'คง', 'ไม่', 'ตาย', 'หรอก', 'เนาะ']"
373,การไม่มีเธอมากเสือกในชีวิตมันช่างเป็นลาบอันประเสริฐสำหรับเรา,1,"['การ', 'ไม่', 'มี', 'เธอ', 'มาก', 'เสือก', 'ใน', 'ชีวิต', 'มัน', 'ช่าง', 'เป็น', 'ลาบ', 'อัน', 'ประเสริฐ', 'สำหรับ', 'เรา']"
374,คนเราถ้าไม่เสือกสักเรื่องจะตายมั้ยว่ะ,1,"['คนเรา', 'ถ้า', 'ไม่', 'เสือก', 'สัก', 'เรื่อง', 'จะ', 'ตาย', 'มั้ย', 'ว่ะ']"
375,กูเสือกหมดแหละถ้ามันเป็นเรื่องของมึง,0,"['กู', 'เสือก', 'หมด', 'แหละ', 'ถ้า', 'มัน', 'เป็นเรื่อง', 'ของ', 'มึง']"
376,เกลียดคนประเภท ยืนต่อแถวซื้อของแล้วยังไม่ถึงคิวตัวเองแล้วเสือกตะโกนสั่ง คือมึงถึงคิวก่อนค่อยสั่งม่ะ 😡😡😡😡😡😡,0,"['เกลียด', 'คน', 'ประเภท', 'ยืน', 'ต่อ', 'แถว', 'ซื้อ', 'ของ', 'แล้ว', 'ยัง', 'ไม่', 'ถึง', 'คิว', 'ตัวเอง', 'แล้ว', 'เสือก', 'ตะโกนสั่ง', 'คือ', 'มึง', 'ถึง', 'คิว', 'ก่อน', 'ค่อย', 'สั่ง', 'ม่ะ', 'EMJpouting-faceEMJEMJpouting-faceEMJEMJpouting-faceEMJEMJpouting-faceEMJEMJpouting-faceEMJEMJpouting-faceEMJ']"
377,เก่งจังเลยเรื่องเสือก เสือกแล้วเสือกให้สุดนะ,1,"['เก่ง', 'จัง', 'เลย', 'เรื่อง', 'เสือก', 'เสือก', 'แล้ว', 'เสือก', 'ให้', 'สุด', 'นะ']"
378,ด่ากูกะหรี่ นี่ไม่ดูตัวเองเลยว่าร่านขนาดไหน,1,"['ด่า', 'กู', 'กะหรี่', 'นี่', 'ไม่', 'ดู', 'ตัวเอง', 'เลย', 'ว่า', 'ร่าน', 'ขนาด', 'ไหน']"
379,ปล้นอำนาจประชาชน เสือกมาเคลมตัวเองว่าดี เคลมตัวเองว่าเป็นประชาธิปไตย เคลมตัวเองว่าเคารพกฎหมาย ที่ผ่านมา มึงคงแดกยากันยุงไปเยอะเน๊าะ,1,"['ปล้น', 'อำนาจ', 'ประชาชน', 'เสือก', 'มา', 'เคลม', 'ตัวเอง', 'ว่า', 'ดี', 'เคลม', 'ตัวเอง', 'ว่า', 'เป็น', 'ประชาธิปไตย', 'เคลม', 'ตัวเอง', 'ว่า', 'เคารพ', 'กฎหมาย', 'ที่ผ่านมา', 'มึง', 'คง', 'แดก', 'ยากันยุง', 'ไป', 'เยอะ', 'เน๊าะ']"
380,ไปรษณีย์ประเทศนี้แม่งเป็นอะไร ยังไม่ทันจะมาส่งของแต่เสือกขึ้นนำจ่ายใหม่ นี่รอบที่สองแล้วนะ เวง,0,"['ไปรษณีย์', 'ประเทศ', 'นี้', 'แม่', 'เป็น', 'อะไร', 'ยัง', 'ไม่', 'ทัน', 'จะ', 'มา', 'ส่ง', 'ของ', 'แต่', 'เสือก', 'ขึ้น', 'นำ', 'จ่าย', 'ใหม่', 'นี่', 'รอบ', 'ที่สอง', 'แล้ว', 'นะ', 'เวง']"
381,ทักมาหาหอกอะไร พอกูตอบเสือกอ่านไม่ตอบ อีสัส.,1,"['ทัก', 'มาหา', 'หอก', 'อะไร', 'พอ', 'กู', 'ตอบ', 'เสือก', 'อ่าน', 'ไม่', 'ตอบ', 'อี', 'สัส.']"
382,เหนื่อยมั้ย ที่ต้องมาเสือกเรื่องคนอื่นอยู่ตลอดเวลาอ่ะ.,1,"['เหนื่อย', 'มั้ย', 'ที่', 'ต้อง', 'มา', 'เสือก', 'เรื่อง', 'คนอื่น', 'อยู่', 'ตลอดเวลา', 'อ่ะ']"
383,ประโยคที่บอกว่าหน้าเหี้ยแต่ได้แฟนหล่อ นี่โคตรบุลลี่ ทำไมวะ เป็นห่าอะไรต้องไปเสือกเรื่องหน้าตาชาวบ้านเขา,1,"['ประโยค', 'ที่', 'บอ', 'กว่า', 'หน้า', 'เหี้ย', 'แต่', 'ได้', 'แฟน', 'หล่อ', 'นี่', 'โคตร', 'บุ', 'ลี่', 'ทำไม', 'วะ', 'เป็น', 'ห่า', 'อะไร', 'ต้อง', 'ไป', 'เสือก', 'เรื่อง', 'หน้าตา', 'ชาวบ้าน', 'เขา']"
384,เพราะจริงแล้ว คือ มันทำให้มึงดูเป็นคนโง่ Eq ต่ำ ทำงานร่วมกับคนอื่นไม่ได้มากกว่า,1,"['เพราะ', 'จริง', 'แล้ว', 'คือ', 'มัน', 'ทำให้', 'มึง', 'ดู', 'เป็น', 'คนโง่', 'eq', 'ต่ำ', 'ทำงาน', 'ร่วมกับ', 'คนอื่น', 'ไม่', 'ได้', 'มากกว่า']"
385,โง่จังนะคะ แค่รูปอีดิทก็ยังดูไม่ออกรูปตัดต่อมันแม่งก็ไม้ได้เนียนเหี้ยไรเลย,1,"['โง่', 'จัง', 'นะคะ', 'แค่', 'รูป', 'อี', 'ดิ', 'ก็', 'ยัง', 'ดู', 'ไม่', 'ออก', 'รูป', 'ตัดต่อ', 'มัน', 'แม่', 'ก็', 'ไม้', 'ได้', 'เนียน', 'เหี้ย', 'ไร', 'เลย']"
386,โอ๊ย อีโง่ อีเด็กขี้เสือกกกก มรุงสงสัยอะไร,1,"['โอ๊ย', 'อี', 'โง่', 'อี', 'เด็ก', 'ขี้', 'เสือก', 'xxrep', 'มรุ', 'สงสัย', 'อะไร']"
387,คนไทยเป็นพวกชอบเเสดงความคิดเห็น เเต่เป็นความคิดในเเบบที่ทำให้ตัวเองดูโง่ เกรียนเพื่อความสะใจของตัวเอง คิดว่าเท่เเต่มันดูเป็นคนโง่นะ,1,"['คนไทย', 'เป็น', 'พวก', 'ชอบ', 'เส', 'ดง', 'ความคิดเห็น', 'เเต่', 'เป็น', 'ความคิด', 'ใน', 'เเบบ', 'ที่', 'ทำให้', 'ตัวเอง', 'ดู', 'โง่', 'เกรียน', 'เพื่อ', 'ความ', 'สะใจ', 'ของ', 'ตัวเอง', 'คิด', 'ว่า', 'เท่', 'เเต่', 'มัน', 'ดู', 'เป็น', 'คนโง่', 'นะ']"
388,"เด็กนักเรียน ม.4/4  เคยกล่าว ""ไม่มีความเลวร้ายใด ที่จะยิ่งไปกว่าการที่บริหารโง่ แล้วยังจะขยันโง่",0,"['เด็กนักเรียน', 'ม.', 'เคย', 'กล่าว', 'ไม่', 'มี', 'ความ', 'เลวร้าย', 'ใด', 'ที่จะ', 'ยิ่ง', 'ไป', 'กว่า', 'การ', 'ที่', 'บริหาร', 'โง่', 'แล้ว', 'ยัง', 'จะ', 'ขยัน', 'โง่']"
389,ไม่เคยคิดว่าจะน้องตัวเองจะโง่ขนาดนี้  โง่จนกุอยากกลั้นใจตายแทนมันให้รู้แล้วรู้รอด...โง่กว่าวัวกว่าควายอีก,1,"['ไม่', 'เคย', 'คิด', 'ว่า', 'จะ', 'น้อง', 'ตัวเอง', 'จะ', 'โง่', 'ขนาด', 'นี้', 'โง่', 'จน', 'กุ', 'อยาก', 'กลั้นใจ', 'ตาย', 'แทน', 'มัน', 'ให้', 'รู้แล้วรู้รอด', 'xxrep', 'โง่', 'กว่า', 'วัว', 'กว่า', 'ควาย', 'อีก']"
390,คนโง่ กับ คนตอแหล มันตามกันไม่ทันหรอกนะ,0,"['คนโง่', 'กับ', 'คน', 'ตอแหล', 'มัน', 'ตาม', 'กัน', 'ไม่', 'ทัน', 'หรอก', 'นะ']"
391,เดียวนี้สมัครงานดูภาษาค่า ซึ่งนี่โง่มาก......สมัครทีลำบากโครตๆ 5555555555555555,0,"['เดียว', 'นี้', 'สมัครงาน', 'ดู', 'ภาษา', 'ค่า', 'ซึ่ง', 'นี่', 'โง่', 'มา', 'ก.', 'xxrep', 'สมัคร', 'ที', 'ลำบาก', 'โค', 'รตๆ', 'xxrep']"
392,ก่อนจะโง่ทิ้งของมีค่า คิดก่อน คิดดีดี ดึงสติ ร้องตามทีหลัง มึงหมาไง,0,"['ก่อน', 'จะ', 'โง่', 'ทิ้ง', 'ของมีค่า', 'คิด', 'ก่อน', 'คิด', 'ดี', 'ดี', 'ดึง', 'สติ', 'ร้อง', 'ตาม', 'ทีหลัง', 'มึง', 'หมา', 'ไง']"
393,คนที่ด่าว่าเราโง่ความจริง เค้าอาจจะโง่ กว่าเราก็ได้,0,"['คน', 'ที่', 'ด่าว่า', 'เรา', 'โง่', 'ความจริง', 'เค้า', 'อาจจะ', 'โง่', 'กว่า', 'เรา', 'ก็ได้']"
394,#MyMateNate ดราม่าเก่าผ่านสักพักดราม่าใหม่มา เอออออออออ ติ่งบางคนนี่โง่แล้วยังจะโชว์โง่อีก,1,"['mymatenate', 'ดราม่า', 'เก่า', 'ผ่าน', 'สักพัก', 'ดราม่า', 'ใหม่', 'มา', 'เอ', 'xxrep', 'ติ่ง', 'บางคน', 'นี่', 'โง่', 'แล้ว', 'ยัง', 'จะ', 'โชว์', 'โง่', 'อีก']"
395,คนไทยเป็นคนขี้เสือก #มือลั่น #เจนี่,1,"['คนไทย', 'เป็น', 'คน', 'ขี้', 'เสือก', 'มือ', 'ลั่น', 'เจ', 'นี่']"
396,ฮา พ่อแม่มึงหรอ ต้องเป็นคนแบบไหนเรียกผญ.ว่าอีโง่ อีกะหรี่ได้แบบสนุกปาก,1,"['ฮา', 'พ่อแม่', 'มึง', 'หรอ', 'ต้อง', 'เป็น', 'คน', 'แบบ', 'ไหน', 'เรียก', 'ผญ.', 'ว่า', 'อี', 'โง่', 'อี', 'กะหรี่', 'ได้', 'แบบ', 'สนุกปาก']"
397,ผช มันไม่รู้หรอกว่า ผญ อ่อยอะ แม่งตอแหลเหงามากหรอ อีสัสนี่ทำกูรมขึ้น แฟนกูก็ดูไม่ออก ที่เรื่องนี้อะเสือกโง่ มันน่าหงุดหงิดมั้ยอะ !!,1,"['ผช', 'มัน', 'ไม่', 'รู้', 'หรอ', 'กว่า', 'ผญ', 'อ่อย', 'อะ', 'แม่', 'ตอแหล', 'เหงา', 'มาก', 'หรอ', 'อี', 'สัส', 'นี่', 'ทำ', 'กู', 'รม', 'ขึ้น', 'แฟน', 'กู', 'ก็', 'ดู', 'ไม่', 'ออก', 'ที่', 'เรื่อง', 'นี้', 'อะ', 'เสือก', 'โง่', 'มัน', 'น่า', 'หงุดหงิด', 'มั้ย', 'อะ', '!!']"
398,เวลาทวิตอะไรไม่หาข้อมูลดีๆ ก่อน มันก็จะดูโง่ๆ หน่อย,0,"['เวลา', 'ทวิ', 'อะไร', 'ไม่', 'หา', 'ข้อมูล', 'ดี', 'ก่อน', 'มัน', 'ก็', 'จะ', 'ดู', 'โง่', 'หน่อย']"
399,ด่าศาลกันสนุกปากเลยนะมึง คดีนี้น่าจะด่าทีมกฎหมายมากกว่านะ แต่จุดมุ่งหมายก็จะให้ด่าศาลอยู่แล้วหละ ถึงดื้ออุทธรณ์ถึงฎีกา ปั่นหัวพวกโง่ง่ายๆ,1,"['ด่า', 'ศาล', 'กัน', 'สนุกปาก', 'เลย', 'นะ', 'มึง', 'คดี', 'นี้', 'น่าจะ', 'ด่า', 'ทีม', 'กฎหมาย', 'มากกว่า', 'นะ', 'แต่', 'จุดมุ่งหมาย', 'ก็', 'จะ', 'ให้', 'ด่า', 'ศาล', 'อยู่', 'แล้วหละ', 'ถึง', 'ดื้อ', 'อุทธรณ์', 'ถึง', 'ฎีกา', 'ปั่นหัว', 'พวก', 'โง่', 'ง่ายๆ']"
400,พอเรียนมาทั้งวันก็จะขี้เกียจทำทุกอย่าง อยากนอนโง่,0,"['พอ', 'เรียน', 'มา', 'ทั้งวัน', 'ก็', 'จะ', 'ขี้เกียจ', 'ทำ', 'ทุกอย่าง', 'อยาก', 'นอน', 'โง่']"
401,มนุษย์เป็นสิ่งมีชีวิตที่โง่เขลา twitter.com/worldnews_atv3…,0,"['มนุษย์', 'เป็น', 'สิ่งมีชีวิต', 'ที่', 'โง่เขลา', 'xxurl']"
402,ก็รู้นี่ว่าตัวเอง 'อคติ' แต่ก็ยังพ่นคำโง่ๆ ออกมาให้คนอื่นเขารู้ถึงวุฒิภาวะ ที่'ต่ำ'เตี้ยเรี่ยดินออกมาประจานตัวเองอ่ะคนเรา,1,"['ก็', 'รู้', 'นี่', 'ว่า', 'ตัวเอง', 'อคติ', 'แต่', 'ก็', 'ยัง', 'พ่น', 'คำ', 'โง่', 'ออกมา', 'ให้', 'คนอื่น', 'เขา', 'รู้', 'ถึง', 'วุฒิภาวะ', 'ที่', 'ต่ำ', 'เตี้ย', 'เรี่ย', 'ดิน', 'ออกมา', 'ประจาน', 'ตัวเอง', 'อ่ะ', 'คนเรา']"
403,ขอเรียกร้องให้รัฐบาลหรือหน่วยงานที่เกี่ยวข้องดำเนินการจัดการควบคุมประชากรสลิ่มโดยด่วน เพราะความโง่ของคนเหล่านี้สามารถทำร้าย ปท.ได้ตลอดเวลา,1,"['ขอ', 'เรียกร้อง', 'ให้', 'รัฐบาล', 'หรือ', 'หน่วยงาน', 'ที่', 'เกี่ยวข้อง', 'ดำเนินการ', 'จัด', 'การควบคุม', 'ประชากร', 'สลิ่ม', 'โดยด่วน', 'เพราะ', 'ความ', 'โง่', 'ของ', 'คน', 'เหล่านี้', 'สามารถ', 'ทำร้าย', 'ปท.', 'ได้', 'ตลอดเวลา']"
404,อิเมท มึงโง่รึมึงโง่ บอกอย่าปิดประตูสองบานพร้อมกัน คุณมึงก็เลื่อนทีละบานแต่เอามาซ้อนกัน จ่ะ....อิดอก,1,"['อิ', 'เมท', 'มึง', 'โง่', 'รึ', 'มึง', 'โง่', 'บอก', 'อย่า', 'ปิดประตู', 'สอง', 'บาน', 'พร้อมกัน', 'คุณ', 'มึง', 'ก็', 'เลื่อน', 'ทีละ', 'บาน', 'แต่', 'เอา', 'มา', 'ซ้อน', 'กัน', 'จ่ะ.', 'xxrep', 'อิด', 'อก']"
405,มันมาถึงยุคระบอบอำมาตย์ครองเมือง  ชาวบ้านจะถูกดูแคลนว่าเป็นคนชั้นต่ำ  โง่  ถึงจน twitter.com/shutup2557/sta…,1,"['มัน', 'มาถึง', 'ยุค', 'ระบอบ', 'อำมาตย์', 'ครองเมือง', 'ชาวบ้าน', 'จะ', 'ถูก', 'ดูแคลน', 'ว่า', 'เป็น', 'คนชั้นต่ำ', 'โง่', 'ถึง', 'จน', 'xxurl']"
406,จะด่าว่าโง่ก็เกรงใจ เสื้อแดงก็ด่าศาลต่อไป ศาลต้องรับผิดชอบความโง่ของทนายมึงมั้ย? จะเอาเป็นความผิดส่วนตัว ในขณะที่ใช้อำนาจตามตำแหน่งหน้าที่?,1,"['จะ', 'ด่าว่า', 'โง่', 'ก็', 'เกรงใจ', 'เสื้อ', 'แดง', 'ก็', 'ด่า', 'ศาล', 'ต่อไป', 'ศาล', 'ต้อง', 'รับผิดชอบ', 'ความ', 'โง่', 'ของ', 'ทนาย', 'มึง', 'มั้ย', 'จะ', 'เอา', 'เป็น', 'ความผิด', 'ส่วนตัว', 'ในขณะที่', 'ใช้อำนาจ', 'ตาม', 'ตำแหน่งหน้าที่']"
407,เมื่อศาลชั่ว รัฐบาลเหี้ย ทหาร-ตำรวจเลวก็ใกล้ถึงเวลาประชาชนลุกขึ้นจับปืนสู้เป็นกองกำลังปฎิวัติประชาชนเวเนซุเอลา... fb.me/30TL6wAsN,1,"['เมื่อ', 'ศาล', 'ชั่ว', 'รัฐบาล', 'เหี้ย', 'ทหาร', 'ตำรวจ', 'เลว', 'ก็', 'ใกล้', 'ถึง', 'เวลา', 'ประชาชน', 'ลุกขึ้น', 'จับ', 'ปืน', 'สู้', 'เป็น', 'กองกำลัง', 'ปฎิ', 'วัติ', 'ประชาชน', 'เวเนซุเอลา', 'xxrep', 'xxurl']"
408,เช้านี้เป็นอะไรวะ เจอแต่พวกน่าตบให้หายโง่ ทำตัวไร้สาระ ไม่ได้ดั่งใจก็ออกจากเกม มึงบ้าเปล่าเนี่ย เด็กเกรียนรึไงมึง #rov #เมื่อฉันเล่นROV,1,"['เช้านี้', 'เป็น', 'อะไร', 'วะ', 'เจอ', 'แต่', 'พวก', 'น่า', 'ตบ', 'ให้', 'หาย', 'โง่', 'ทำตัว', 'ไร้สาระ', 'ไม่', 'ได้', 'ดั่ง', 'ใจ', 'ก็', 'ออกจาก', 'เกม', 'มึง', 'บ้า', 'เปล่า', 'เนี่ย', 'เด็ก', 'เกรียน', 'รึ', 'ไง', 'มึง', 'rov', 'เมื่อ', 'ฉัน', 'เล่น', 'rov']"
409,#สมแล้วที่เป็นประเทศด้อยพัฒนา สำหรับคนที่ชื่นชอบอิเปรี้ยว #ทีมเปรี้ยว ก็รอให้มันไปฆ่าหั่นศพญาติพวกคุณก่อนละกันนะแค่ตัดสินใจอีกทีว่าดีรึเลว,1,"['#สม', 'แล้ว', 'ที่', 'เป็น', 'ประเทศด้อยพัฒนา', 'สำหรับ', 'คน', 'ที่', 'ชื่นชอบ', 'อิ', 'เปรี้ยว', 'ทีม', 'เปรี้ยว', 'ก็', 'รอ', 'ให้', 'มัน', 'ไป', 'ฆ่า', 'หั่น', 'ศพ', 'ญาติ', 'พวกคุณ', 'ก่อน', 'ละ', 'กัน', 'นะ', 'แค่', 'ตัดสินใจ', 'อีกที', 'ว่า', 'ดี', 'รึ', 'เลว']"
410,บางคนก็ยังสำนึกตัวไม่ได้ เลวยังงัยก็แบบนั้น อย่าได้บริจาคเลือดให้ใครเชียว กลัวติดเชื้อชั่วจากเซลล์เม็ดเลือดแดง,1,"['บางคน', 'ก็', 'ยัง', 'สำนึกตัว', 'ไม่', 'ได้', 'เลว', 'ยังงัย', 'ก็', 'แบบ', 'นั้น', 'อย่า', 'ได้', 'บริจาค', 'เลือด', 'ให้', 'ใคร', 'เชียว', 'กลัว', 'ติดเชื้อ', 'ชั่ว', 'จาก', 'เซลล์', 'เม็ดเลือดแดง']"
411,คือใจกูแทบสลายแล้วอะตอนนี้ มึงทำห่าอะไรเค้าไว้ แล้วเค้าต้องมาขอโทษมึงกันอีกอะ สารเลว,1,"['คือ', 'ใจ', 'กู', 'แทบ', 'สลาย', 'แล้ว', 'อะ', 'ตอนนี้', 'มึง', 'ทำ', 'ห่า', 'อะไร', 'เค้า', 'ไว้', 'แล้ว', 'เค้า', 'ต้อง', 'มา', 'ขอโทษ', 'มึง', 'กัน', 'อีก', 'อะ', 'สารเลว']"
